IncACh_ALE,IncACh_FWE,IncACh_Z,DecACh_FWE,DecACh_Z,ComACh_FWE,ComACh_Z,NbM_Z,NbMSep_Z
0.13937475,0.0,0.4207688,0.024704084,0.3503806,0.016304703,0.37006527,0.56587994,0.46491608
0.00018579794,0.0,0.026726916,0.0,0.17923777,0.0,0.20956272,0.049677163,0.016909868
0.0058535812,0.0,0.18790048,0.0,0.4464343,0.0,0.46581385,0.48096588,0.3897005
3.1794687e-07,0.0,,0.0,0.3665065,0.0,0.4125594,0.16893208,0.14952908
0.00026579513,0.0,,0.0,0.2790149,0.0,0.42344037,0.4356939,0.4240878
0.008624742,0.0,0.15800756,0.0,0.35790625,0.0,0.4003374,0.37662184,0.3085854
0.0038972974,0.0,0.1081633,0.0,0.3003627,0.0,0.35230315,0.4770533,0.46739933
0.0017730582,0.0,0.067432664,0.0,0.28926244,0.0,0.40345395,0.6224271,0.55269027
0.31667617,0.0,0.52637964,0.0,0.25637695,0.0,0.35437533,0.6460116,0.61140096
0.11906584,0.0,0.34498343,0.0,0.15487485,0.0,0.213936,0.44670504,0.45407546
3.3478603e-08,0.0,,0.0,0.0,0.0,0.0,0.10430485,0.04644257
0.0005985826,0.0,0.13006961,0.0,0.06209004,0.0,0.060320467,0.21429159,0.080323696
0.0007918653,0.0,0.1001758,0.0,0.119418174,0.0,0.12699874,0.32492024,0.22505039
1.690805e-08,0.0,,0.0,0.011428297,0.0,0.009752989,0.0,0.12946445
7.4858275e-05,0.0,,0.0,0.21765971,0.0,0.25527638,0.34164155,0.27003473
0.000466782,0.0,0.0048448443,0.0,0.34924072,0.0,0.3682952,0.52064776,0.42372364
4.9873124e-05,0.0,,0.0,0.15811896,0.0,0.18439402,0.17655137,0.19616236
0.008952724,0.0,0.15374102,0.22290698,0.5560237,0.18006179,0.56456375,0.6458007,0.5693302
0.001194412,0.0,0.17323881,0.0,0.19065087,0.0,0.20638585,0.54854953,0.44996607
5.54631e-07,0.0,,0.0,0.3084924,0.0,0.34192976,0.11938208,0.07146418
0.00018556623,0.0,0.008373633,0.0,0.39557195,0.0,0.43543616,0.25144,0.19976328
0.043194525,0.0,0.29348618,0.026774198,0.418783,0.024730666,0.4704077,0.4744002,0.41016403
0.3899595,0.0,0.5988486,0.17240594,0.59547496,0.14463753,0.59984237,0.6335671,0.52420783
0.0033841734,0.0,0.1399874,0.0,0.4972578,0.0,0.505893,0.48892817,0.39572486
0.09100515,0.0,0.38685948,0.15409341,0.59108907,0.10441091,0.6034462,0.43122828,0.34862772
0.00023183288,0.0,0.09920436,0.0,0.1890652,0.0,0.21707441,0.34037444,0.29208606
0.017960705,0.0,0.2162439,0.081280425,0.39137036,0.06891481,0.42283452,0.24878469,0.28618518
0.0021824553,0.0,0.18400212,0.0,0.2489638,0.0,0.27099746,0.32015866,0.24706388
9.248528e-06,0.0,,0.0,0.30225918,0.0,0.3272537,0.23359755,0.25575927
8.800461e-08,0.0,,0.0,0.15380685,0.0,0.16804245,0.26490247,0.19880007
0.27946517,0.0,0.51087373,0.011310655,0.41828692,0.008334506,0.43871826,0.6283846,0.51632446
0.03097143,0.0,0.2601725,0.0,0.4271046,0.0,0.46792644,0.59255934,0.49918348
0.01503935,0.0,0.2020172,0.0,0.39187828,0.01784892,0.45583832,0.5950399,0.53080064
0.08495837,0.0,0.28077662,0.02070675,0.4749019,0.15821707,0.55613244,0.65501165,0.581185
0.011587299,0.0,0.18038082,0.026373597,0.50592136,0.028162627,0.53009474,0.62111264,0.51857984
0.4162716,0.1216519,0.62847763,0.0,0.33002785,0.35623586,0.664029,0.79192173,0.7018021
0.17707011,0.0,0.4574174,0.0,0.31180227,0.0,0.45622078,0.5093752,0.45448437
0.14099227,0.0,0.43054143,0.12135009,0.47663638,0.075776614,0.5014841,0.4097173,0.42135093
0.31580904,0.0,0.59405035,0.0,0.25578922,0.0,0.38114646,0.612981,0.51320994
0.5040624,0.0,0.7000493,0.0,0.2913624,0.0,0.41634712,0.6180198,0.5620006
0.33411044,0.0,0.60430825,0.028113257,0.40880746,0.08051943,0.4798684,0.76965904,0.64847493
0.0072096195,0.0,0.22597043,0.0,0.30419895,0.0,0.32435524,0.4851094,0.39513475
0.4581063,0.0,0.6566213,0.0,0.22774613,0.0,0.254673,0.22554348,0.1659617
0.053613786,0.0,0.3243215,0.0,0.32736823,0.045845583,0.46539006,0.52186775,0.46828434
0.017618192,0.0,0.23000728,0.0,0.24643481,0.0,0.2743814,0.35237223,0.29009128
0.09013761,0.0,0.38760564,0.0,0.26162112,0.0,0.33681524,0.35634655,0.28267846
0.26764196,0.0,0.517191,0.0,0.25228935,0.003716052,0.30511647,0.42439565,0.3780348
0.102705054,0.0,0.40309706,0.102764644,0.51708543,0.03816143,0.5321625,0.45589584,0.40921295
0.045387518,0.0,0.2800978,0.18007818,0.5825561,0.23319049,0.64821935,0.61038184,0.52257824
0.01588474,0.0,0.21524572,0.2768953,0.60069275,0.3364459,0.6700579,0.60159874,0.5353632
0.21069129,0.0,0.50868434,0.12189788,0.49113864,0.209378,0.55439335,0.6386639,0.56037056
0.2121034,0.0,0.48494363,9.078796e-05,0.27499613,0.0002330718,0.30701274,0.46386164,0.3896645
0.2387589,0.0,0.4901938,0.10150828,0.5521427,0.16766474,0.62408984,0.682475,0.5660963
0.3336246,0.0,0.58769274,0.15761876,0.5472867,0.14087248,0.56606674,0.60722905,0.49989745
0.41138405,0.0,0.6491179,0.19798864,0.5883198,0.19344667,0.6105908,0.6638423,0.54821473
0.124076255,0.0,0.37344456,0.43573856,0.695573,0.42479143,0.70126003,0.48480463,0.39312384
0.07375303,0.0,0.39979526,0.1837459,0.58291674,0.21876428,0.635882,0.64478356,0.53467906
