Achei_only_incZ,Achei_only_decZ,Nic_only_incZ,Nic_only_decZ,ALE_inc3,ALE_dec3
0.15191013,0.14058349,0.32231295,0.85576904,0.0,0.0
0.38682607,0.21365494,0.35297304,0.4528178,0.0,0.0
0.19315723,0.1368722,0.50878066,0.7762416,0.0,0.0
0.32153782,,,0.22697853,0.0,0.0
,,0.23940645,0.338918,0.0,0.0
0.10168633,0.26002458,,0.34810203,0.0,0.0
0.36654225,0.1472199,,0.2736058,0.0,0.0
0.3075345,0.2916645,0.25276178,0.20477557,0.0,0.0
0.2410222,0.13502222,0.25317603,0.1933026,0.0,0.0
1.0000001,0.2668622,,0.19279677,0.0,0.0
0.23400405,0.18055949,,,0.0,0.0
,0.28397864,0.097650245,,0.0,0.0
0.15156138,0.2314401,0.09398162,,0.0,0.0
,0.0890291,0.18061873,,0.0,0.0
,,,,,
,,0.18604134,0.5454071,0.0,0.0
0.33821747,,0.37403888,0.41581392,0.0,0.0
,0.3608646,,0.28164724,0.0,0.0
,,,0.3324536,0.0,0.0
,0.18385187,,0.42095956,0.0,0.0
0.1429978,0.29572967,0.010351058,0.58989024,0.0,0.0
0.08306494,0.12839073,0.24732511,0.41794732,0.0,0.0
,,0.28871858,0.17915548,0.0,0.0
,,0.20291138,0.5901673,0.0,0.0
,,0.56983924,0.76029515,0.0,0.0
,0.07465491,0.29815447,0.88730985,0.0,0.0
,,,,0.0,0.0
,0.23578802,0.44091398,0.22607203,0.0,0.0
,0.12899697,0.60709864,0.36031604,0.0,0.0
,0.06624529,,0.20104499,0.0,0.0
,,0.48050064,0.6097382,0.0,0.0
,,0.65351194,0.68433064,0.0,0.0
,0.124295086,0.43327218,0.48527315,0.0,0.0
,0.12217179,0.6566804,0.31730402,0.0,0.0
,,0.2114162,0.70898646,0.0,0.0
,0.38207164,0.19366719,0.5255008,0.0,0.0
,,0.25010765,0.38588518,0.0,0.0
,,0.3724122,0.21804023,0.0,0.0
0.09788191,,0.7123624,0.2293895,0.0,0.0
,0.06398299,0.76409817,0.89273673,0.0,0.0
0.3604276,0.08413127,0.5068123,0.29312393,0.0,0.0
0.0865632,,0.5382561,0.35985896,0.0,0.0
0.10480404,,0.32505906,0.5166625,0.0,0.0
0.331794,0.007800609,0.1269754,0.5128569,0.0,0.0
,,0.2487355,0.27973074,0.0,0.0
,,,0.31465203,0.0,0.0
0.20290604,0.12171179,0.45021707,0.28071702,0.0,0.0
