IncACh_ALE,IncACh_FWE,IncACh_Z,binInAch_FWE,nonMACMDecACh_FWE,binDeAch_FWE,MACMDDecACh_FWE,MACMDDecACh_Z,MACMDComACh_FWE,MACMDComACh_Z,MACMDNbM_Z,MACMDNbMSep_Z,AchInc_ALE05d3,AchDec_ALE05d3
0.27497718,0.0,0.48138005,0.0,0.0,0.0,0.0,0.21759388,0.0,0.23863544,0.21729562,0.22120835,0.0,0.0
6.223978e-07,0.0,,0.0,0.0,0.0,0.0,0.17708567,0.0,0.20956199,0.1208009,0.14952882,0.0,0.0
0.20420769,0.0,0.429416,0.0,0.0,0.0,0.21853651,0.44758826,0.23205961,0.4696228,0.35754138,0.4430316,0.0,0.0
1.4283735e-08,0.0,,0.0,0.0,0.0,0.0,0.15410797,0.0,0.1719878,0.35641843,0.35781357,0.0,0.0
0.00285413,0.0,0.06980096,0.0,0.0,0.0,0.0,0.14508405,0.0,0.15948904,0.37950945,0.3804578,0.0,0.0
1.2504958e-05,0.0,,0.0,0.0,0.0,0.0,0.22374606,0.0,0.232573,0.24920927,0.2524271,0.0,0.0
0.05367226,0.0,0.26690483,0.0,0.0,0.0,0.0,0.17005448,0.0,0.20556985,0.09644368,0.2661917,0.0,0.0
0.00042578072,0.0,,0.0,0.0,0.0,0.0,0.18892817,0.0,0.20314625,0.21577486,0.22379294,0.0,0.0
0.012962213,0.0,0.16718504,0.0,0.0,0.0,0.0,0.2858628,0.0,0.29676569,0.22916298,0.23225042,0.0,0.0
2.1477608e-05,0.0,,0.0,0.0,0.0,0.0,0.15607822,0.0,0.2105751,0.29864702,0.45269638,0.0,0.0
0.0025688158,0.0,0.053626344,0.0,0.0,0.0,0.0,0.25044525,0.0,0.30026928,0.3169778,0.32321364,0.0,0.0
0.037663836,0.0,0.23975348,0.0,0.0,0.0,0.0,0.18771085,0.0,0.23445562,0.44066828,0.4675057,0.0,0.0
,,,,,,,,,,,,,
1.2913539e-08,0.0,,0.0,0.0,0.0,0.0,0.16714676,0.0,0.18170506,0.1881162,0.19090295,0.0,0.0
,,,,,,,,,,,,,
